udp.stream,ip.src,udp.srcport,ip.dst,udp.dstport,frame.protocols
1,192.168.122.31,58336,192.168.122.2,53,eth:ethertype:ip:udp:dns
2,192.168.122.31,62145,192.168.122.2,53,eth:ethertype:ip:udp:dns
3,192.168.122.31,64213,192.168.122.2,53,eth:ethertype:ip:udp:dns
4,192.168.122.31,63904,192.168.122.2,53,eth:ethertype:ip:udp:dns
5,192.168.122.31,51629,192.168.122.2,53,eth:ethertype:ip:udp:dns
6,192.168.122.31,51681,192.168.122.2,53,eth:ethertype:ip:udp:dns
7,192.168.122.31,60793,192.168.122.2,53,eth:ethertype:ip:udp:dns
8,192.168.122.31,64774,192.168.122.2,53,eth:ethertype:ip:udp:dns
9,192.168.122.31,56417,192.168.122.2,53,eth:ethertype:ip:udp:dns
10,192.168.122.31,61547,192.168.122.2,53,eth:ethertype:ip:udp:dns
11,192.168.122.31,51991,192.168.122.2,53,eth:ethertype:ip:udp:dns
12,192.168.122.31,64242,192.168.122.2,53,eth:ethertype:ip:udp:dns
13,192.168.122.31,58604,192.168.122.2,53,eth:ethertype:ip:udp:dns
14,192.168.122.31,65213,192.168.122.2,53,eth:ethertype:ip:udp:dns
15,192.168.122.31,62031,192.168.122.2,53,eth:ethertype:ip:udp:dns
16,192.168.122.31,49185,192.168.122.2,53,eth:ethertype:ip:udp:dns
17,192.168.122.31,61685,192.168.122.2,53,eth:ethertype:ip:udp:dns
18,192.168.122.31,56543,192.168.122.2,53,eth:ethertype:ip:udp:dns
19,192.168.122.31,58449,192.168.122.2,53,eth:ethertype:ip:udp:dns
20,192.168.122.31,52288,192.168.122.2,53,eth:ethertype:ip:udp:dns
21,192.168.122.31,63981,192.168.122.2,53,eth:ethertype:ip:udp:dns
22,192.168.122.31,64586,192.168.122.2,53,eth:ethertype:ip:udp:dns
23,192.168.122.31,63825,192.168.122.2,53,eth:ethertype:ip:udp:dns
24,192.168.122.31,52555,192.168.122.2,53,eth:ethertype:ip:udp:dns
25,192.168.122.31,53477,192.168.122.2,53,eth:ethertype:ip:udp:dns
26,192.168.122.31,62413,192.168.122.2,53,eth:ethertype:ip:udp:dns
27,192.168.122.31,61127,192.168.122.2,53,eth:ethertype:ip:udp:dns
28,192.168.122.31,61838,192.168.122.2,53,eth:ethertype:ip:udp:dns
29,192.168.122.31,62020,192.168.122.2,53,eth:ethertype:ip:udp:dns
